               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.018885,           0.0088896,                   0,             0.95429,             0.87705,             0.96291,             0.75965,            0.017167,            0.005311,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.01884,           0.0086453,                   0,             0.93958,              0.8923,             0.95964,             0.75934,             0.01705,           0.0056564,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.019341,           0.0090345,                   0,              0.9223,             0.90984,             0.96105,             0.75443,            0.017178,           0.0056988,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.018508,           0.0091645,                   0,             0.93965,             0.89342,             0.95935,             0.75546,            0.017045,           0.0059439,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.01749,           0.0084294,                   0,             0.92267,             0.90984,              0.9595,             0.75321,            0.017241,            0.005679,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.017921,            0.007993,                   0,             0.93955,             0.89176,             0.96091,             0.75167,            0.017138,           0.0056822,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.018546,           0.0088405,                   0,              0.9545,             0.88525,             0.95404,             0.75613,             0.01703,           0.0055049,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018357,            0.008684,                   0,             0.93375,             0.88525,              0.9518,             0.74776,            0.017262,           0.0058359,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.017481,           0.0087118,                   0,             0.93795,             0.87705,             0.95779,             0.74823,            0.017006,           0.0056103,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.018157,           0.0085218,                   0,             0.93951,             0.89344,             0.95943,             0.75807,            0.016863,           0.0054008,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.017701,           0.0080659,                   0,             0.89988,             0.91803,             0.96124,             0.75783,            0.016972,           0.0055742,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018011,           0.0079303,                   0,             0.94434,             0.87705,             0.96193,             0.76209,            0.017139,            0.005504,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017332,           0.0083466,                   0,             0.94444,             0.89344,             0.96448,              0.7613,            0.017043,           0.0054286,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.018355,           0.0089281,                   0,             0.95399,             0.89344,             0.96271,             0.75656,            0.017105,           0.0054746,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.016836,           0.0085269,                   0,             0.95595,             0.88944,             0.96126,             0.76981,            0.016829,            0.005487,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.017642,            0.007944,                   0,             0.93297,             0.91274,             0.96458,             0.76215,             0.01684,           0.0054229,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017448,           0.0080207,                   0,             0.91695,             0.90503,             0.96565,             0.76331,            0.016779,           0.0054297,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.017041,           0.0080228,                   0,             0.94654,             0.88525,             0.96153,             0.75381,            0.016991,           0.0056748,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016458,            0.008136,                   0,             0.94779,             0.89273,             0.95553,             0.75161,            0.016815,           0.0058444,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017661,           0.0082812,                   0,             0.93998,             0.89853,             0.95471,             0.75508,            0.016825,           0.0058775,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.017237,           0.0083103,                   0,             0.94764,             0.89004,             0.95963,             0.76202,            0.016866,           0.0057402,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017394,           0.0082832,                   0,             0.95077,             0.89344,             0.95761,             0.75742,            0.017075,           0.0057831,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017664,           0.0084335,                   0,             0.94959,             0.89344,             0.96081,             0.76223,            0.016667,           0.0056494,                   0,            0.000298,            0.000298,            0.000298
